year,temp
1960,1370773175299
1961,1428243252163
1962,1533428552164
1963,1651254441091
1964,1809566507676
1965,1970263431689
1966,2137443239819
1967,2274766100845
1968,2454039687170
1969,2702384325609
1970,2967134190513
1971,3277473529735
1972,3780008408344
1973,4607296495839
1974,5313811666230
1975,5916138399186
1976,6436618979872
1977,7280008873683
1978,8570950836043
1979,9958993254912
1980,11219651208332
1981,11616548460677
1982,11507419044047
1983,11739581031767
1984,12172632270220
1985,12786868776197
1986,15109518321327
1987,17186317201890
1988,19226665300870
1989,20068920934036
1990,22603206098495
1991,23942384829866
1992,25425855198397
1993,25838198034039
1994,27753090818176
1995,30865108095792
1996,31549409160507
1997,31435985940810
1998,31367309193548
1999,32529370037528
2000,33581571601704
2001,33382422263799
2002,34669304532581
2003,38899897038563
2004,43811772234695
2005,47459060744747
2006,51442676003488
2007,57968741828029
2008,63616066492489
2009,60340071198874
2010,66036932045341
2011,73357420394392
2012,75045654452275
2013,77189608277385
2014,79296107902415
2015,75003074210657
2016,76102831192800
2017,80891341462319
2018,85804390603622
